neut	YP_009725297.1	540	leader protein	510	1174
neut	YP_009725298.1	1914	nsp2	1767	4151
neut	YP_009725299.1	5835	nsp3	5096	12063
neut	YP_009725300.1	1500	nsp4	1317	3158
neut	YP_009725301.1	918	3C-like proteinase	957	2270
neut	YP_009725302.1	870	nsp6	865	2058
neut	YP_009725303.1	249	nsp7	254	540
neut	YP_009725304.1	594	nsp8	555	1364
neut	YP_009725305.1	339	nsp9	296	668
neut	YP_009725306.1	417	nsp10	345	889
neut	YP_009725307.1	2796	RNA-dependent RNA polymerase	2473	5771
neut	YP_009725308.1	1803	helicase	1781	4292
neut	YP_009725309.1	1581	3'-to-5' exonuclease	1501	3668
neut	YP_009725310.1	1038	endoRNAse	933	2318
neut	YP_009725311.1	894	2'-O-ribose methyltransferase	816	2014
neut	YP_009724390.1	3822	surface glycoprotein	3500	8463
neut	YP_009724391.1	828	ORF3a protein	808	1809
neut	YP_009724392.1	228	envelope protein	220	548
neut	YP_009724393.1	669	membrane glycoprotein	626	1480
neut	YP_009724394.1	186	ORF6 protein	122	332
neut	YP_009724395.1	366	ORF7a protein	350	860
neut	YP_009725318.1	132	ORF7b	116	294
neut	YP_009724396.1	366	ORF8 protein	377	858
neut	YP_009724397.2	1260	nucleocapsid phosphoprotein	1337	3214
neut	YP_009725255.1	117	ORF10 protein	54	161
