adpt	YP_009725297.1	540	leader protein	461	1225
adpt	YP_009725298.1	1914	nsp2	1550	3923
adpt	YP_009725299.1	5835	nsp3	4939	12582
adpt	YP_009725300.1	1500	nsp4	1350	3411
adpt	YP_009725301.1	918	3C-like proteinase	718	1805
adpt	YP_009725302.1	870	nsp6	881	2207
adpt	YP_009725303.1	249	nsp7	180	494
adpt	YP_009725304.1	594	nsp8	553	1393
adpt	YP_009725305.1	339	nsp9	328	837
adpt	YP_009725306.1	417	nsp10	355	908
adpt	YP_009725307.1	2796	RNA-dependent RNA polymerase	2506	6396
adpt	YP_009725308.1	1803	helicase	1690	4388
adpt	YP_009725309.1	1581	3'-to-5' exonuclease	1228	3108
adpt	YP_009725310.1	1038	endoRNAse	972	2491
adpt	YP_009725311.1	894	2'-O-ribose methyltransferase	699	1719
adpt	YP_009724390.1	3822	surface glycoprotein	3326	8516
adpt	YP_009724391.1	828	ORF3a protein	667	1737
adpt	YP_009724392.1	228	envelope protein	228	575
adpt	YP_009724393.1	669	membrane glycoprotein	537	1462
adpt	YP_009724394.1	186	ORF6 protein	230	557
adpt	YP_009724395.1	366	ORF7a protein	370	914
adpt	YP_009725318.1	132	ORF7b	78	219
adpt	YP_009724396.1	366	ORF8 protein	287	689
adpt	YP_009724397.2	1260	nucleocapsid phosphoprotein	1132	2889
adpt	YP_009725255.1	117	ORF10 protein	66	181
