mix	YP_009725297.1	540	leader protein	82	200
mix	YP_009725298.1	1914	nsp2	634	1466
mix	YP_009725299.1	5835	nsp3	1723	3981
mix	YP_009725300.1	1500	nsp4	549	1211
mix	YP_009725301.1	918	3C-like proteinase	306	721
mix	YP_009725302.1	870	nsp6	236	580
mix	YP_009725303.1	249	nsp7	93	220
mix	YP_009725304.1	594	nsp8	122	297
mix	YP_009725305.1	339	nsp9	106	242
mix	YP_009725306.1	417	nsp10	159	403
mix	YP_009725307.1	2796	RNA-dependent RNA polymerase	832	1964
mix	YP_009725308.1	1803	helicase	612	1370
mix	YP_009725309.1	1581	3'-to-5' exonuclease	469	1089
mix	YP_009725310.1	1038	endoRNAse	242	590
mix	YP_009725311.1	894	2'-O-ribose methyltransferase	261	573
mix	YP_009724390.1	3822	surface glycoprotein	1292	3000
mix	YP_009724391.1	828	ORF3a protein	225	500
mix	YP_009724392.1	228	envelope protein	57	129
mix	YP_009724393.1	669	membrane glycoprotein	247	593
mix	YP_009724394.1	186	ORF6 protein	46	115
mix	YP_009724395.1	366	ORF7a protein	123	280
mix	YP_009725318.1	132	ORF7b	13	23
mix	YP_009724396.1	366	ORF8 protein	112	248
mix	YP_009724397.2	1260	nucleocapsid phosphoprotein	353	815
mix	YP_009725255.1	117	ORF10 protein	60	139
