bkg-0.8	YP_009725297.1	540	leader protein	552	357
bkg-0.8	YP_009725298.1	1914	nsp2	1723	1141
bkg-0.8	YP_009725299.1	5835	nsp3	5445	3429
bkg-0.8	YP_009725300.1	1500	nsp4	1566	988
bkg-0.8	YP_009725301.1	918	3C-like proteinase	735	517
bkg-0.8	YP_009725302.1	870	nsp6	856	550
bkg-0.8	YP_009725303.1	249	nsp7	191	122
bkg-0.8	YP_009725304.1	594	nsp8	566	335
bkg-0.8	YP_009725305.1	339	nsp9	470	270
bkg-0.8	YP_009725306.1	417	nsp10	442	278
bkg-0.8	YP_009725307.1	2796	RNA-dependent RNA polymerase	2527	1677
bkg-0.8	YP_009725308.1	1803	helicase	2047	1285
bkg-0.8	YP_009725309.1	1581	3'-to-5' exonuclease	1611	1117
bkg-0.8	YP_009725310.1	1038	endoRNAse	949	627
bkg-0.8	YP_009725311.1	894	2'-O-ribose methyltransferase	762	510
bkg-0.8	YP_009724390.1	3822	surface glycoprotein	3751	2332
bkg-0.8	YP_009724391.1	828	ORF3a protein	685	438
bkg-0.8	YP_009724392.1	228	envelope protein	211	137
bkg-0.8	YP_009724393.1	669	membrane glycoprotein	678	426
bkg-0.8	YP_009724394.1	186	ORF6 protein	236	167
bkg-0.8	YP_009724395.1	366	ORF7a protein	325	213
bkg-0.8	YP_009725318.1	132	ORF7b	48	26
bkg-0.8	YP_009724396.1	366	ORF8 protein	383	240
bkg-0.8	YP_009724397.2	1260	nucleocapsid phosphoprotein	1093	701
bkg-0.8	YP_009725255.1	117	ORF10 protein	174	101
