adpt-0.1	YP_009725297.1	540	leader protein	516	1679
adpt-0.1	YP_009725298.1	1914	nsp2	1615	5394
adpt-0.1	YP_009725299.1	5835	nsp3	5598	17973
adpt-0.1	YP_009725300.1	1500	nsp4	1289	4166
adpt-0.1	YP_009725301.1	918	3C-like proteinase	832	2685
adpt-0.1	YP_009725302.1	870	nsp6	834	2839
adpt-0.1	YP_009725303.1	249	nsp7	265	829
adpt-0.1	YP_009725304.1	594	nsp8	539	1569
adpt-0.1	YP_009725305.1	339	nsp9	254	806
adpt-0.1	YP_009725306.1	417	nsp10	357	1192
adpt-0.1	YP_009725307.1	2796	RNA-dependent RNA polymerase	2703	8919
adpt-0.1	YP_009725308.1	1803	helicase	1724	5643
adpt-0.1	YP_009725309.1	1581	3'-to-5' exonuclease	1519	4950
adpt-0.1	YP_009725310.1	1038	endoRNAse	918	3013
adpt-0.1	YP_009725311.1	894	2'-O-ribose methyltransferase	898	2922
adpt-0.1	YP_009724390.1	3822	surface glycoprotein	3814	12206
adpt-0.1	YP_009724391.1	828	ORF3a protein	864	2881
adpt-0.1	YP_009724392.1	228	envelope protein	217	694
adpt-0.1	YP_009724393.1	669	membrane glycoprotein	523	1683
adpt-0.1	YP_009724394.1	186	ORF6 protein	208	656
adpt-0.1	YP_009724395.1	366	ORF7a protein	252	918
adpt-0.1	YP_009725318.1	132	ORF7b	99	307
adpt-0.1	YP_009724396.1	366	ORF8 protein	416	1339
adpt-0.1	YP_009724397.2	1260	nucleocapsid phosphoprotein	1317	4211
adpt-0.1	YP_009725255.1	117	ORF10 protein	102	354
