neut	YP_009725297.1	540	leader protein	577	1050
neut	YP_009725298.1	1914	nsp2	1718	3307
neut	YP_009725299.1	5835	nsp3	5432	10549
neut	YP_009725300.1	1500	nsp4	1455	2760
neut	YP_009725301.1	918	3C-like proteinase	759	1434
neut	YP_009725302.1	870	nsp6	760	1540
neut	YP_009725303.1	249	nsp7	213	405
neut	YP_009725304.1	594	nsp8	514	1057
neut	YP_009725305.1	339	nsp9	272	573
neut	YP_009725306.1	417	nsp10	432	856
neut	YP_009725307.1	2796	RNA-dependent RNA polymerase	2410	4675
neut	YP_009725308.1	1803	helicase	1725	3299
neut	YP_009725309.1	1581	3'-to-5' exonuclease	1580	3125
neut	YP_009725310.1	1038	endoRNAse	1053	2003
neut	YP_009725311.1	894	2'-O-ribose methyltransferase	708	1325
neut	YP_009724390.1	3822	surface glycoprotein	3758	7221
neut	YP_009724391.1	828	ORF3a protein	741	1418
neut	YP_009724392.1	228	envelope protein	162	314
neut	YP_009724393.1	669	membrane glycoprotein	545	1040
neut	YP_009724394.1	186	ORF6 protein	181	330
neut	YP_009724395.1	366	ORF7a protein	404	750
neut	YP_009725318.1	132	ORF7b	125	232
neut	YP_009724396.1	366	ORF8 protein	427	877
neut	YP_009724397.2	1260	nucleocapsid phosphoprotein	971	1772
neut	YP_009725255.1	117	ORF10 protein	144	287
