bkg-r10m	YP_009725297.1	540	leader_protein	455	541	33	58
bkg-r10m	YP_009725298.1	1914	nsp2	1149	2082	128	248
bkg-r10m	YP_009725299.1	5835	nsp3	3789	7099	372	844
bkg-r10m	YP_009725300.1	1500	nsp4	654	2030	91	210
bkg-r10m	YP_009725301.1	918	3C-like_proteinase	349	1159	59	125
bkg-r10m	YP_009725302.1	870	nsp6	519	890	56	128
bkg-r10m	YP_009725303.1	249	nsp7	232	252	23	36
bkg-r10m	YP_009725304.1	594	nsp8	254	1235	35	99
bkg-r10m	YP_009725305.1	339	nsp9	155	288	18	51
bkg-r10m	YP_009725306.1	417	nsp10	259	449	29	72
bkg-r10m	YP_009725307.1	2796	RNA-dependent_RNA_polymerase	3175	3166	202	449
bkg-r10m	YP_009725308.1	1803	helicase	768	2119	116	255
bkg-r10m	YP_009725309.1	1581	3-to-5_exonuclease	686	2001	95	221
bkg-r10m	YP_009725310.1	1038	endoRNAse	806	1415	83	134
bkg-r10m	YP_009725311.1	894	2-O-ribose_methyltransferase	445	1260	58	142
bkg-r10m	YP_009724390.1	3822	surface_glycoprotein	2486	5340	232	559
bkg-r10m	YP_009724390.1_S1	1623	S1_subunit	822	2676	97	230
bkg-r10m	YP_009724390.1_S2	2196	S2_subunit	1663	2664	135	329
bkg-r10m	YP_009724391.1	828	ORF3a_protein	567	1207	59	130
bkg-r10m	YP_009724392.1	228	envelope_protein	91	265	13	36
bkg-r10m	YP_009724393.1	669	membrane_glycoprotein	688	671	46	106
bkg-r10m	YP_009724394.1	186	ORF6_protein	62	452	14	26
bkg-r10m	YP_009724395.1	366	ORF7a_protein	500	327	25	50
bkg-r10m	YP_009725318.1	132	ORF7b	98	116	14	14
bkg-r10m	YP_009724396.1	366	ORF8_protein	159	351	18	57
bkg-r10m	YP_009724397.2	1260	nucleocapsid_phosphoprotein	1164	1264	77	176
bkg-r10m	YP_009725255.1	117	ORF10_protein	50	84	5	9
