bkg-r3m	YP_009725297.1	540	leader_protein	97	250	35	63
bkg-r3m	YP_009725298.1	1914	nsp2	496	1228	79	184
bkg-r3m	YP_009725299.1	5835	nsp3	1357	2815	268	549
bkg-r3m	YP_009725300.1	1500	nsp4	310	687	77	176
bkg-r3m	YP_009725301.1	918	3C-like_proteinase	181	408	37	104
bkg-r3m	YP_009725302.1	870	nsp6	164	345	49	83
bkg-r3m	YP_009725303.1	249	nsp7	64	113	16	34
bkg-r3m	YP_009725304.1	594	nsp8	80	211	18	51
bkg-r3m	YP_009725305.1	339	nsp9	71	144	16	26
bkg-r3m	YP_009725306.1	417	nsp10	205	173	20	40
bkg-r3m	YP_009725307.1	2796	RNA-dependent_RNA_polymerase	627	1519	124	276
bkg-r3m	YP_009725308.1	1803	helicase	423	954	91	186
bkg-r3m	YP_009725309.1	1581	3-to-5_exonuclease	646	689	72	147
bkg-r3m	YP_009725310.1	1038	endoRNAse	343	508	51	105
bkg-r3m	YP_009725311.1	894	2-O-ribose_methyltransferase	307	801	38	111
bkg-r3m	YP_009724390.1	3822	surface_glycoprotein	958	1705	179	387
bkg-r3m	YP_009724390.1_S1	1623	S1_subunit	334	810	70	166
bkg-r3m	YP_009724390.1_S2	2196	S2_subunit	623	895	109	221
bkg-r3m	YP_009724391.1	828	ORF3a_protein	222	321	32	71
bkg-r3m	YP_009724392.1	228	envelope_protein	49	99	9	28
bkg-r3m	YP_009724393.1	669	membrane_glycoprotein	119	302	31	64
bkg-r3m	YP_009724394.1	186	ORF6_protein	28	295	11	15
bkg-r3m	YP_009724395.1	366	ORF7a_protein	61	147	19	41
bkg-r3m	YP_009725318.1	132	ORF7b	23	36	9	6
bkg-r3m	YP_009724396.1	366	ORF8_protein	443	163	16	38
bkg-r3m	YP_009724397.2	1260	nucleocapsid_phosphoprotein	257	734	43	132
bkg-r3m	YP_009725255.1	117	ORF10_protein	24	57	8	14
