adpt-r1m	YP_009725297.1	540	leader_protein	61	170	18	56
adpt-r1m	YP_009725298.1	1914	nsp2	369	657	78	157
adpt-r1m	YP_009725299.1	5835	nsp3	737	2094	212	528
adpt-r1m	YP_009725300.1	1500	nsp4	190	516	63	160
adpt-r1m	YP_009725301.1	918	3C-like_proteinase	117	305	40	85
adpt-r1m	YP_009725302.1	870	nsp6	117	262	37	71
adpt-r1m	YP_009725303.1	249	nsp7	26	123	5	25
adpt-r1m	YP_009725304.1	594	nsp8	69	199	18	61
adpt-r1m	YP_009725305.1	339	nsp9	48	88	17	27
adpt-r1m	YP_009725306.1	417	nsp10	140	215	14	35
adpt-r1m	YP_009725307.1	2796	RNA-dependent_RNA_polymerase	372	1156	100	258
adpt-r1m	YP_009725308.1	1803	helicase	304	782	83	177
adpt-r1m	YP_009725309.1	1581	3-to-5_exonuclease	349	469	68	126
adpt-r1m	YP_009725310.1	1038	endoRNAse	127	384	38	96
adpt-r1m	YP_009725311.1	894	2-O-ribose_methyltransferase	111	397	32	82
adpt-r1m	YP_009724390.1	3822	surface_glycoprotein	671	1743	159	341
adpt-r1m	YP_009724390.1_S1	1623	S1_subunit	265	773	68	138
adpt-r1m	YP_009724390.1_S2	2196	S2_subunit	406	970	91	203
adpt-r1m	YP_009724391.1	828	ORF3a_protein	103	384	31	76
adpt-r1m	YP_009724392.1	228	envelope_protein	43	66	10	18
adpt-r1m	YP_009724393.1	669	membrane_glycoprotein	100	205	35	54
adpt-r1m	YP_009724394.1	186	ORF6_protein	23	49	5	17
adpt-r1m	YP_009724395.1	366	ORF7a_protein	94	101	13	39
adpt-r1m	YP_009725318.1	132	ORF7b	18	33	7	9
adpt-r1m	YP_009724396.1	366	ORF8_protein	47	95	16	28
adpt-r1m	YP_009724397.2	1260	nucleocapsid_phosphoprotein	175	474	48	114
adpt-r1m	YP_009725255.1	117	ORF10_protein	8	32	2	12
