adpt-r3m	YP_009725297.1	540	leader_protein	117	512	29	54
adpt-r3m	YP_009725298.1	1914	nsp2	373	891	74	219
adpt-r3m	YP_009725299.1	5835	nsp3	1149	3930	268	610
adpt-r3m	YP_009725300.1	1500	nsp4	459	1006	87	147
adpt-r3m	YP_009725301.1	918	3C-like_proteinase	369	448	45	98
adpt-r3m	YP_009725302.1	870	nsp6	592	468	40	106
adpt-r3m	YP_009725303.1	249	nsp7	46	125	13	28
adpt-r3m	YP_009725304.1	594	nsp8	94	279	26	78
adpt-r3m	YP_009725305.1	339	nsp9	86	195	17	36
adpt-r3m	YP_009725306.1	417	nsp10	62	194	12	47
adpt-r3m	YP_009725307.1	2796	RNA-dependent_RNA_polymerase	816	2380	143	321
adpt-r3m	YP_009725308.1	1803	helicase	378	1397	76	177
adpt-r3m	YP_009725309.1	1581	3-to-5_exonuclease	306	959	74	174
adpt-r3m	YP_009725310.1	1038	endoRNAse	413	719	41	118
adpt-r3m	YP_009725311.1	894	2-O-ribose_methyltransferase	170	436	42	101
adpt-r3m	YP_009724390.1	3822	surface_glycoprotein	1058	1989	194	402
adpt-r3m	YP_009724390.1_S1	1623	S1_subunit	608	774	82	177
adpt-r3m	YP_009724390.1_S2	2196	S2_subunit	450	1215	112	225
adpt-r3m	YP_009724391.1	828	ORF3a_protein	140	658	43	99
adpt-r3m	YP_009724392.1	228	envelope_protein	44	106	10	26
adpt-r3m	YP_009724393.1	669	membrane_glycoprotein	115	296	26	81
adpt-r3m	YP_009724394.1	186	ORF6_protein	23	90	2	27
adpt-r3m	YP_009724395.1	366	ORF7a_protein	60	189	12	33
adpt-r3m	YP_009725318.1	132	ORF7b	27	54	9	10
adpt-r3m	YP_009724396.1	366	ORF8_protein	73	211	22	49
adpt-r3m	YP_009724397.2	1260	nucleocapsid_phosphoprotein	232	611	63	117
adpt-r3m	YP_009725255.1	117	ORF10_protein	17	93	4	13
